Date,Open,High,Low,Close,Adj Close,Volume
2018.11.2,43050,44250,42800,44150,40254.24219,16517112
2018.11.5,43750,43800,42900,43800,39935.125,9426777
2018.11.6,43750,43800,42950,43750,39889.53906,7713625
2018.11.7,43600,44500,43400,44000,40117.48047,11553998
2018.11.8,44900,45050,44050,44050,40163.06641,12617397
2018.11.9,44450,44850,43900,44300,40391.00391,7318500
2018.11.12,43850,45250,43700,45200,41211.58984,8552566
2018.11.13,43900,44500,43400,44500,40573.36328,9311126
2018.11.14,44500,44500,43800,44100,40208.65234,6783344
2018.11.16,44600,44750,43700,44000,40117.48047,7777124
2018.11.19,44050,44250,43450,43650,39798.36328,7538720
2018.11.20,42450,43000,42100,42800,39023.36328,9420664
2018.11.21,41800,42300,41800,42100,38385.13281,10769589
2018.11.22,42000,42650,42000,42450,38704.25,5970796
2018.11.23,42450,42600,41900,42400,38658.65625,5192638
2018.11.26,42150,42800,42100,42600,38841.01172,6613009
2018.11.27,42900,43100,42500,43050,39251.30469,8367091
2018.11.28,42800,43200,42750,43150,39342.48828,6943099
2018.11.29,43850,43850,42900,43150,39342.48828,8473511
2018.11.30,43450,44000,41750,41850,38157.19531,19775519
2018.12.3,42750,43400,42400,43250,39433.66406,12110702
2018.12.4,42650,42900,41900,42150,38430.72266,14347746
2018.12.5,40900,41750,40850,41450,37792.49219,12631983
2018.12.6,40600,41100,40450,40500,36926.31641,14251826
2018.12.7,40900,41400,40850,40950,37336.60938,11433083
2018.12.10,40450,40650,40000,40200,36652.78906,14892263
2018.12.11,40600,40700,40200,40250,36698.375,10638766
2018.12.12,40250,40700,40150,40450,36880.72266,12024279
2018.12.13,40650,40750,40000,40000,36470.42969,26254646
2018.12.14,40200,40200,38700,38950,35513.08594,19671783
2018.12.17,38650,39600,38650,39150,35695.44141,11532968
2018.12.18,38300,39200,38300,38900,35467.5,11042101
2018.12.19,38900,39350,38850,39100,35649.84375,9942037
2018.12.20,38600,39100,38500,38650,35239.55859,11937617
2018.12.21,38200,38650,38100,38650,35239.55859,14947080
2018.12.24,38500,39050,38300,38800,35376.32031,9729530
2018.12.26,38400,38750,38300,38350,34966.02734,12707675
2018.12.27,38700,38800,38100,38250,35199.77344,10510643
2018.12.28,38250,38900,38200,38700,35613.88672,9900267
2019.1.2,39400,39400,38550,38750,35659.90625,7847664
2019.1.3,38300,38550,37450,37600,34601.61328,12471493
2019.1.4,37450,37600,36850,37450,34463.57813,14108958
2019.1.7,38000,38900,37800,38750,35659.90625,12748997
2019.1.8,38000,39200,37950,38100,35061.73438,12756554
2019.1.9,38650,39600,38300,39600,36442.12109,17452708
2019.1.10,40000,40150,39600,39800,36626.17578,14731699
2019.1.11,40350,40550,39950,40500,37270.35547,11661063
2019.1.14,40450,40700,39850,40050,36856.23047,11984996
